Country,Title,Price,Discount,Rating,Number of Ratings
FR,"Chargeur iPhone, 20W Chargeur Rapide iPhone et 2M Câble pour iPhone 14/14 Plus/14 Pro/14 Pro MAX/13/12/ 11/ X/8/7/ Pad, USB C Chargeur iPhone Rapide (Blanc)",1099.0,0,,489
FR,"EXW Écran LCD iPhone 13 6.1"" Écran iPhone 13 Tactile De Réparation Complet + Protecteur D'écran + Adhésif Étanche",2959.0,0,,685
FR,"Mini Batterie Externe pour iPhone 5200mAh, Power Bank Ultra-Compact et Léger 20W PD Charge Rapide Chargeur Externe avec Écran LCD, Petit Batterie Portable Compatible avec iPohone 14/13/12/11/XR/X/8/SE",,0,,2045
FR,"JETech Protection D'écran pour iPhone 16 Pro 6,3 Pouces avec Protecteur d'Objectif Caméra, Outil d'Installation Facile, Film en Verre Trempé, Transparent HD, Lot de 2 Chacun",799.0,0,,12717
FR,"XTCASE Coque pour iPhone 13 Magnétique Compatible avec MagSafe, Étui Mat Translucide Minimaliste, PC Dur Housse Arrière Anti-Rayures + TPU Bumper Antichoc - Noir",999.0,0,,4452
FR,"JETech Coque Mate pour iPhone 16 6,1 Pouces, Protection Antichoc de Qualité Militaire Contre Les Chutes, Étui Housse Arrière Translucide Givrée, Anti-Traces de Doigts (Noir)",1199.0,0,,862
FR,"JETech Protection d'Écran pour iPhone 11/XR 6,1 Pouces Film en Verre Trempé, Lot de 3",698.0,54,,35003
FR,"Lot de 2 adaptateurs pour écouteurs iPhone [certifié Apple MFi] - Lightning vers Jack 3,5 mm - Câble Jack Accessoires Kompatibel avec iPhone 14/13/12/11/Xs/XR/X/8/7 für Alle iOS",999.0,0,,974
IT,Apple iPhone 13 128GB - Azzurro (Ricondizionato),33800.0,0,,0
IT,Apple iPhone 15 (128 GB) - nero,71900.0,0,,0
IT,"Apple iPhone 16 128 GB: Telefono 5G con Controllo fotocamera, chip A18 e tanta autonomia in più. Compatibile con AirPods; Blu oltremare",77900.0,0,,0
IT,"Apple iPhone 12, 128GB, Nero - (Ricondizionato)",27100.0,0,,0
IT,"iPhone 16e 128 GB: progettato per Apple Intelligence, con chip A18, un’autonomia grandiosa, fotocamera Fusion da 48MP e display Super Retina XDR 6,1""; Nero",69900.0,0,,0
IT,"Apple iPhone 12 mini, all carriers, 128GB, Azzurro - (Ricondizionato)",22750.0,0,,0
IT,Apple iPhone XR 64GB - Nero (Ricondizionato),18289.0,0,,0
IT,Apple iPhone 13 128GB - Mezzanotte (Ricondizionato),33600.0,0,,0
IT,"Apple iPhone 16 Pro Max 256 GB: Telefono 5G con Controllo fotocamera, Dolby Vision 4K a 120 fps e un’autonomia senza precedenti. Compatibile con AirPods; Titanio nero",1.279,0,,0
IT,"Apple iPhone 14 Pro, 128GB, Deep Purple - (Ricondizionato)",60050.0,0,,0
IT,"Apple iPhone 12 Pro, all carriers, 256GB, Graphite - (Ricondizionato)",34000.0,0,,0
IT,Apple iPhone 15 Pro (512 GB) - Titan Natur,69900.0,0,,0
IT,"Apple iPhone 16 Pro 128 GB: Telefono 5G con Controllo fotocamera, Dolby Vision 4K a 120 fps e un’autonomia senza precedenti. Compatibile con AirPods; Titanio nero",1.099,0,,0
IT,Apple iPhone 13 Pro Max 256GB - Azzurro Sierra (Ricondizionato),56900.0,0,,0
IT,"Apple iPhone 13 Pro, 128GB, Grafite - (Ricondizionato)",45200.0,0,,0
IT,"Apple iPhone 14 Pro, 256GB, Deep Purple - (Ricondizionato)",64150.0,0,,0
IT,Apple iPhone 15 128GB - Nero (Ricondizionato),58200.0,0,,0
IT,Novità Apple iPhone 12 Pro Max (128GB) - Grafite (Ricondizionato),47350.0,0,,0
IT,"Apple iPhone 11, 64GB, Nero (Ricondizionato)",20140.0,0,,0
IT,Apple iPhone SE 2a Gen 64GB - Bianco (Ricondizionato),13660.0,0,,0
IT,"Apple iPhone SE 3a Gen 64GB, Mezzanotte (Ricondizionato)",27400.0,0,,0
IT,"Apple iPhone 13 Mini, 128GB, Mezzanotte - (Ricondizionato)",31999.0,0,,0
IT,Apple iPhone 11 128GB Bianco (Ricondizionato),23000.0,0,,0
IT,Apple iPhone XR 64GB - Nero (Ricondizionato),14990.0,0,,0
IT,Apple iPhone 15 Pro Max 512GB - Titanio Nero (Ricondizionato),1.099,0,,0
IT,"Apple iPhone 14, 256GB, (PRODUCT) Red - (Ricondizionato)",50850.0,0,,0
IT,"Apple iPhone 16 Plus 128 GB: Telefono 5G con Controllo fotocamera, chip A18 e tanta autonomia in più. Compatibile con AirPods; Nero",99900.0,0,,0
IT,Apple iPhone 14 (128 GB) - Azzurro,74500.0,0,,0
IT,Apple iPhone 13 Mini 128GB - Verde (Ricondizionato),30900.0,0,,0
IT,Apple iPhone XS 64GB - Grigio Siderale (Ricondizionato),19400.0,0,,0
IT,Apple iPhone 11 Pro all carriers 256GB Grigio Siderale (Ricondizionato),28800.0,0,,0
IT,Apple iPhone 13 (128 GB) - Mezzanotte,,0,,0
IT,Apple iPhone 13 15.5 cm (6.1) Dual SIM iOS 15 5G 128 GB Black,62900.0,0,,0
IT,Apple iPhone 11 128GB - Viola - Sbloccato (Ricondizionato),25599.0,0,,0
IT,Apple iPhone SE 3rd Gen 64GB - Mezzanotte (Ricondizionato),24400.0,0,,0
IT,Apple iPhone 13 128GB - (PRODUCT)RED (Ricondizionato),33500.0,0,,0
IT,Apple AirPods (terza generazione) con custodia di ricarica Lightning ​​​​​​​,13500.0,0,,0
IT,Swarovski High Collezione Custodia per smartphone,7100.0,0,,0
IT,"Popglory Smartwatch Uomo Donna, 2 cinturini Orologio Chiamate e Whatsapp, Contapassi Assistente Vocale, Orologio Digitale 24H Cardiofrequenzimetro, Pressione Sanguigna SpO2 Sonno, per Android iOS",4510.0,0,,0
IT,"Vefsna MFi Certified Chiavetta USB 3.0 512GB per iPhone, Lightning Pen Drive Penna 3 in 1 Photostick Chiave USB Type C USB C di Memoria Backup, per iPhone,iPad, Android, Mac, PC Rosa chiaro",4599.0,0,,0
IT,"Swarovski High Custodia per Smartphone, con Superficie Ricoperta di CristalliSwarovski, Compatibile con iPhone 14",7921.0,0,,0
IT,"Smart Watch per uomini, Fitness Tracker con schermo completo da 1,9'' HD, Smartwatch impermeabile IP67 con frequenza cardiaca, pressione sanguigna e ossigeno, monitor del sonno per Android e iPhone",4320.0,0,,0
IT,"AOGUERBE Power Bank con Magsafe, 10000mAh Powerbank Magnetico, Caricatore Wireless Portatile PD 22.5W Ricarica Rapida, Batteria Esterna con Bracket per iPhone 16/15/14/13/12/Mini/Pro/Pro Max",2999.0,50,,0
IT,"Jubolion Microfono Lavalier Wireless per iPhone/Android/PC (Lightning/USBC/USBA), 2 Pack LED Display Mini Microfono Bluetooth con Mute/Reverb/Riduzione del Rumore per TikTok/YouTube/Vlog (J3)",2599.0,5,,0
IT,"ESR Portafoglio MagSafe (HaloLock), Compatibile con Il MagSafe Wallet, Supporto per 3 Carte, Pelle Vegana, Supporto Regolabile, per iPhone Serie 16/15/14/13/12, Non per 13/12 Mini, Nero",2564.0,0,,0
IT,"WATOE 3 in 1 Caricatore Wireless Stazione, 18W Ricarica Rapida Wireless Phone Charger Stand per iPhone16/15/14/13/12/11/Pro/Max/Plus/XS/XR/X, per Apple Watch 10/9/8/7/6/SE/5/4/3 per AirPods 4/3/2/Pro",2549.0,0,,0
IT,"Sinjimoru Porta carte per MagSafe con impugnatura, porta carte magnetico per la custodia posteriore compatibile con iPhone serie 16-12. M-Band",2699.0,0,,0
IT,"LL TRADER Display per iPhone 11 Pro LCD 5.8"" di ricambio per schermo touch screen 3D Touch Digitizer kit di montaggio e riparazione (modelli A2160, A2217, A2215)",2699.0,0,,0
ES,"Apple iPhone 13, 128GB, Negro Noche - (Reacondicionado)",33400.0,0,,0
ES,"Apple iPhone 16e de 128 GB: Diseñado para Apple Intelligence, Chip A18, autonomía a raudales, cámara Fusion de 48 Mpx, Pantalla Super Retina XDR de 6,1 Pulgadas — Negro",65900.0,0,,0
ES,Apple iPhone 15 (128 GB) - Negro,72800.0,0,,0
ES,Apple iPhone XR 64GB - Negro (Reacondicionado),18289.0,0,,0
ES,"Apple iPhone 16 de 128 GB: Smartphone 5G con Control de Cámara, Chip A18 y un subidón en autonomía. Compatible con los AirPods; Azul Ultramar",82450.0,0,,0
ES,"Apple iPhone 12, 128GB, Negro - (Reacondicionado)",27895.0,0,,0
ES,"Apple iPhone 14 Pro, 128GB, Morado - (Reacondicionado)",60900.0,0,,0
ES,Apple iPhone 13 128GB - Negro (Reacondicionado),33700.0,0,,0
ES,Apple iPhone 15 128 GB - Negro (Reacondicionado),59400.0,0,,0
ES,"Apple iPhone 16 Pro MAX de 256 GB: Smartphone 5G con Control de Cámara, grabación en 4K a 120 f/s con Dolby Vision y un Gran Salto en autonomía. Compatible con los AirPods; Titanio Negro",1.34,0,,0
ES,Apple iPhone 14 (128 GB) - Malva,65000.0,0,,0
ES,"Apple iPhone 11, 64GB, Negro (Reacondicionado)",20899.0,0,,0
ES,Apple iPhone 13 128GB - Rosa (Reacondicionado),49400.0,0,,0
ES,"Apple iPhone 13 Pro MAX, 256GB - Azul Alpino (Reacondicionado)",57700.0,0,,0
ES,"Apple iPhone 12 Pro, 128GB, Grafito - (Reacondicionado)",35540.0,0,,0
ES,"Apple iPhone 14, 128GB, Blanco Estrella - (Reacondicionado)",47849.0,0,,0
ES,"Apple iPhone 16 Pro de 256 GB: Smartphone 5G con Control de Cámara, grabación en 4K a 120 f/s con Dolby Vision y un Gran Salto en autonomía. Compatible con los AirPods; Titanio Negro",1.226,0,,0
ES,Apple iPhone 13 Pro 128GB - Azul Alpino (Reacondicionado),47742.0,0,,0
ES,"Apple iPhone 12 mini, 128GB, Blanco - (Reacondicionado)",23999.0,0,,0
ES,Apple iPhone 15 Pro MAX (256 GB) - Titanio Azul,1.23,0,,0
ES,"Apple iPhone 11 Pro, 256GB, Gris Espacial (Reacondicionado)",29900.0,0,,0
ES,Apple iPhone 15 Plus (128 GB) - Negro,81900.0,0,,0
ES,Apple iPhone 11 128GB - Negro - Desbloqueado (Reacondicionado),24990.0,0,,0
ES,Tel Apple iPhone 13 128GB (Pol,55000.0,0,,0
ES,"Apple iPhone 13 Mini, 128GB, Negro Noche - (Reacondicionado)",31900.0,0,,0
ES,Apple iPhone 13 128GB - Verde (Reacondicionado),34900.0,0,,0
ES,"Apple iPhone 14, 256 GB, Amarillo (Reacondicionado)",49900.0,0,,0
ES,Apple iPhone XR 64 GB - Rojo (Reacondicionado),19318.0,0,,0
ES,"Smartphone Apple iPhone 14 Pro Plateado 512 GB 6,1""",1.61372,0,,0
ES,Apple iPhone 15 Pro 128 GB - Titanio Azul (Reacondicionado),87600.0,0,,0
ES,"Smartphone Apple iPhone 15 Pro MAX 6,7"" A17 Pro 512 GB Titanio",3.17839,0,,0
ES,Apple iPhone 13 (128 GB) - en Medianoche,52900.0,0,,0
ES,"Apple iPhone SE 2a Generación, 128GB, Negro (Reacondicionado)",15900.0,0,,0
ES,Apple iPhone 15 Pro MAX 256 GB - Azul Titanio (Reacondicionado),95399.0,0,,0
ES,Apple iPhone 14 Pro 256GB - Plata (Reacondicionado),68800.0,0,,0
ES,Apple iPhone 15 Pro (256 GB) - Titanio Azul,,0,,0
ES,Apple iPhone 16 Pro MAX 256GB White Titanium,1.33,0,,0
ES,"iPhone 14 Pro MAX 128GB, Morado Oscuro (Reacondicionado)",72921.0,0,,0
ES,Apple iPhone 15 Plus 128 GB - Azul (Reacondicionado),72921.0,0,,0
ES,"Apple iPhone 13, 256GB, Azul (Reacondicionado)",40957.0,0,,0
ES,"Apple iPhone 12 Pro Max, 128GB, Azul Pacifico - (Reacondicionado)",41100.0,0,,0
ES,"Apple iPhone 13, 256GB - Verde (Reacondicionado)",46759.0,0,,0
ES,"Apple iPhone 13 Mini, 128GB, Mitternacht - (Generalüberholt)",38740.0,0,,0
ES,"Apple iPhone 12 Pro Max, 128GB, Oro - (Reacondicionado)",42900.0,0,,0
ES,Apple iPhone 11 Pro Max 64GB - Verde Noche - Desbloqueado (Reacondicionado),30400.0,0,,0
ES,Nothing Phone (2a) 12+256GB - Smartphone con Nothing OS 2.5 - Blanco Roto,25900.0,50,,0
ES,Apple iPhone 14 Plus (128 GB) - Azul,72100.0,0,,0
ES,"Apple iPhone 11 Pro, 256GB, Plata (Reacondicionado)",32454.0,0,,0
JP,【整備済み品】 Apple iPhone 12 128GB ブルー SIMフリー (整備済み品),36036.0,0,3.7,833
JP,Apple iPhone 16 (128 GB) - ティール + 2年延長 AppleCare+ for iPhone 16,,0,4.3,283
JP,【整備済み品】Apple iPhone 16 128GB ウルトラマリン SIMフリー 5G対応,,0,5.0,1
JP,ソニー Xperia 10V ブラック SIMフリースマホ XQ-DC44 B 【日本正規代理店品】,,0,4.1,67
